raw_row_number,company_name_raw,stand_no,sector,products,country,website_text,website_url,company_column,details
145,"Ningbo Master Irrigation Gardening Equipment Co., LTD.",1-478,Agriculture Technologies,Smart Irrigation,China,www.yymaster.com,http://www.yymaster.com/,"Ningbo Master Irrigation Gardening Equipment Co., LTD.","NINGBO SENNINGER IRRIGATION GARDENING EQUIPMENT CO., LTD is a manufacturer specialized in producing water-saving irrigation equipments, sprinkler equipments and micro-drip irrigation equipments. Products are made of solid durable engineering plastic, zinc alloy and high-quality all-brass material. All products have precise designs and advanced manufacturing processes, with reliable quality and best price, suited to China's national conditions. They are used for the irrigation of agriculture, flowers, landscape, the stadium, greenhouse, the courtyard, the golf course and the industry of temperature decrease dust removal and so on."
146,"Ningbo Salvador Piping System Co., Ltd.",1-378,,,China,,,"Ningbo Salvador Piping System Co., Ltd.",
147,"Ningbo Sino Tech&Delp Co., Ltd.",1-395,"Agriculture Technologies, Crop Farming","Smart Farming, Smart Irrigation, Farming Technologies, Landscaping & Nurseries",China,sinoirrigation.com,http://sinoirrigation.com,"Ningbo Sino Tech&Delp Co., Ltd.",
148,"Ningbo Yinzhou Yash Import& Export Co., Ltd.",5-236,,,China,,,"Ningbo Yinzhou Yash Import& Export Co., Ltd.",
149,"Ningxia Sloan Technology Co, Ltd",5-235,,,China,,,"Ningxia Sloan Technology Co, Ltd",
150,Nuha Othman Al Badr Est.,5-334,Crop Farming,,Saudi Arabia,,,Nuha Othman Al Badr Est.,
151,Oman Flour Mills Company,1-293,,,Oman,,,Oman Flour Mills Company,
152,One Agro Kimya San Tic A.Ş,3-250,,,Turkiye,,,One Agro Kimya San Tic A.Ş,
153,P.TRE Greenline,4-480,Agriculture Technologies,"Greenhouses Solutions, Hydroponics",Italy,www.ptregreenline.it,http://www.ptregreenline.it,P.TRE Greenline,"P.TRE is a leading company in the production of systems for hydroponic cultivation in greenhouses, active all over the world.Thanks to many years of experience acquired in sheet metal processing and the most modern technology available in wire bending, P.TRE is able to offer specific products and accessories to study each individual need side by side with the grower."
154,Pioneer Water Tanks,5-147,,,UAE,,,Pioneer Water Tanks,
155,"Prasada (Xiamen) Agricultural Engineering Co., Ltd.",1-460,,,China,,,"Prasada (Xiamen) Agricultural Engineering Co., Ltd.",
156,Precia Molen,3-194,,,France,,,Precia Molen,
157,Pyung Hwa Industry,1-187,,,South Korea,,,,
158,Qetaf Jordan Company for Industry,4-269,Agriculture Technologies,Greenhouses Solutions,Saudi Arabia,www.qetafjo.com,http://www.qetafjo.com/,Qetaf Jordan Company for Industry,"Qetaf Company specializes in the manufacturing of greenhouses and greenhouse supplies, including iron structures, various types of greenhouse coverings, cooling and heating components, and everything related to greenhouses, such as seeds, fertilizers, and irrigation networks. We provide everything a farmer needs under the name of Qetaf Jordanian Company in all its departments."
159,"Qinhuangdao Lito Technology Co., Ltd.",1-295,,,China,,,"Qinhuangdao Lito Technology Co., Ltd.",
160,RABL Agriculture Company (United Agricultural Company),5-369,"Agriculture Technologies, Crop Farming","Drones, Fertilizers & Pesticides",Saudi Arabia,www.rablagri.com,http://www.rablagri.com,RABL Agriculture Company (United Agricultural Company),"RABL Agriculture Company is a leading Saudi company specializing in agricultural inputs and advanced farming technologies. Since 2013, we have been dedicated to supporting farmers across the Kingdom by providing premium fertilizers, pesticides, seeds, and innovative agricultural equipment. Through strong partnerships with global manufacturers, we deliver sustainable solutions that enhance productivity, crop quality, and environmental responsibility. RABL also invests in R&D, farmer training, and modern production facilities, including our fertilizer factory, nursery, and seed trial station, to ensure continual improvement and food security. Our mission is to lead agricultural innovation in Saudi Arabia by offering safe, sustainable, and effective solutions for a growing future."
161,RAD Global Pvt. Ltd.,3-180,Crop Farming,Crop Protection,India,radglbl.com,http://radglbl.com,RAD Global Pvt. Ltd.,"We are a vertically integrated unit equipped with advanced multi-layer film extrusion, monofilament extrusion lines, German Karl Mayer knitting machines, and heat stenter machines. Our company specializes in manufacturing netting solutions for multiple industries, with the construction sector being one of our key verticals.Our products find applications in the following sectors:a) Constructionb) Fencingc) Agriculture and Horticultured) Outdoor and HomeWe offer knitted nets in both Tape and Monofilament categories, available in 6 and 9-gauge varieties. Our shade nets range from 38 GSM to 410 GSM, with options for UV protection lasting up to 10 years and shading levels of up to 99%."
162,Rafed Agricultural Company,5-137,Agriculture Technologies,"Greenhouses Solutions, Hydroponics",Saudi Arabia,rafedagri.com,http://rafedagri.com/,Rafed Agricultural Company,"Rafed Agricultural Company is a Saudi-based firm specializing in providing modern agricultural services,solutions, and technologies. We excel in establishing AI and IoT-supported smart farms, supplying essential agricultural products and tools, and designing and executing landscaping projects. Additionally, we create and implement greenhouses and hydroponic systems Our experts at Rafed are dedicated to staying abreast, of the latest innovations in the agricultural sector aiming to form comprehensive partnerships with our clients by meeting their needs throughout their journey."
163,"Raffia Factory Co., Ltd.",4-250,Agro-Food Processing & Packaging,Agro-Food Packaging,Saudi Arabia,www.raffia.sa,http://www.raffia.sa,"Raffia Factory Co., Ltd.","The Kingdom of Saudi Arabia is one of the largest Petrochemicals-producing countries in the world. Naturally, conversion industries were built to produce products for end–users.Enhancing this fact and to go along with the Saudi Industrial Development, RAFFIA FACTORY was established in late 1996, by pure Saudi investment of 24,000,000 twenty-four million Saudi Riyals Capital.Commercial production was started in early 1997, concentrating on producing Woven Sacks out of Polypropylene yarn with an initial capacity of (60,000,000) sixty million sacks per annum. Due to the increase in demand for our products, both locally and abroad, and the trust given to us by our valuable clients, and to meet this demand, an expansion was made in 1999 raising the capacity to reach (90,000,000) ninety million sacks per annum, out of which two million heavy-duty JUMBO bags with capacity ranging from 0.5-1.5 tons.Additionally, the factory produces Leno bags, Baler Twine, Rope, Agri Twine, Film/Liner, Cable Filler yarn, Sleeping, and Floor Mats - produced from fibrillated PP yarn."
164,Raji Hussein S. Alamoudi Plastic Industries,4-295,Agro-Food Processing & Packaging,Agro-Food Packaging,Saudi Arabia,www.roshana.com.sa,http://www.roshana.com.sa,Raji Hussein S. Alamoudi Plastic Industries,
165,Riyadh Green Oasis Trading Est.,4-279,Crop Farming,"Greenhouses Solutions, Fertilizers & Pesticides, Crop Protection",Saudi Arabia,greenoasisksa.com,http://greenoasisksa.com/,Riyadh Green Oasis Trading Est.,"Riyadh Green Oasis Trading Est., which was established in the year 1993, contributes to the development of the Saudi agricultural sector by providing all the needs of this sector of seeds, fertilizers and agricultural pesticides of high-quality products, and by providing technical support to farms in all regions of the Kingdom.This is done through our work as exclusive agents for a number of major international companies specialized in agricultural pesticides of reliability and high quality, such as Agrokanesho Company, Mitsui Company, Nihon Nohyaku Company, OAT Company from Japan, Dutch Simonis Company, Spanish Lainco Company, Bulgarian Agaria Company, Agrohao Company, and Sinochem Company from China, in addition to the Indian Sulphur Mills Company, as well as the Spanish Mylva Company and the Italian Zapi Company in the field of public health pesticides, which are selected with highest standards of safety for humans and the environment. As for fertilizers, Sipcam and Bios from Spain and seeds from the Indian company Agrotech and Fertinagro fertilizer and Daymsa from Spain."
166,Saeed Abdullah Alahmari Trading Company (Alahmari Co.),4-360,Crop Farming,Fertilizers & Pesticides,Saudi Arabia,www.alahmari.com.sa,http://www.alahmari.com.sa,Saeed Abdullah Alahmari Trading Company (Alahmari Co.),"Alahmari Co. is one of the leading distributors of SABIC Agri-nutrients in the Kingdom of Saudi Arabia with distribution and sales branches in the main agricultural areas in the Kingdom. Moreover, Alahmari Co. secures a variety of SABIC Agri-nutrients products that include Granular Urea as well as Prilled Urea, DAP, NPK 11/29/19 and Ammonium Sulphate in addition to other varieties of specialized Urea products including Stabilized Urea, Urea with Humic Acid and Urea Coated with Zinc. Our company has an experience of more than 35 years in this field, year after year Alahmari Co. confirms its competency through the confidence and trust of a large number of Agri-Community customers as well as Agri-Companies throughout the Kingdom of Saudi Arabia."
167,"Salem Al Humaidi & Partners for Trading & Agriculture Co., Ltd.",4-440,"Crop Farming, Aquaculture","Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries, Aquaculture Materials, Aquaculture Nutrition, Aquaculture Systems & Technologies",Saudi Arabia,www.humaiditrade.com,http://www.humaiditrade.com,"Salem Al Humaidi & Partners for Trading & Agriculture Co., Ltd.","Since its founding, Salem Al-Humaidi & Partners for Trading & Agriculture Co., Ltd. has established itself as a leading company known for its credibility and professionalism in all its operations. The company stands out for the diversity of its services and its ongoing commitment to meeting the needs of clients in both the agricultural and veterinary sectors across the Kingdom.The company holds exclusive agencies for a number of prominent international brands, including:• Fito Seed Company – Spain• Emerald Seed Company – USA• Jaer Fertilizer Company – Spain• FITOGAL Fertilizer Company – Spain• Chema Company for Fertilizers and Pesticides – Egypt• Osatu Sprayers Company – SpainIn the agricultural equipment sector, the company represents several leading global manufacturers, including:• EG Master – Pumps and submersible motors• SHIMGE Submersible Company – China• Felsom Pumps Company – Italy• Dafu Pumps Company – China• Qifeng Submersible Company – ChinaThe company also provides comprehensive solutions for greenhouse supply and installation through a specialized technical team. Additionally, it operates a fully equipped veterinary department offering a wide range of medicines and veterinary supplies.With over 50 years of experience, the company is proud to serve the agricultural and veterinary sectors throughout the Kingdom, with a firm commitment to quality and excellence."
168,SALIC (Saudi Agricultural and Livestock Investment Company),2-230,Official Agency,Government Agency,Saudi Arabia,www.salic.com,http://www.salic.com/,SALIC (Saudi Agricultural and Livestock Investment Company),"We are a leading investor in businesses across the global agrifood value chain. By improving access to essential foods, we create long-term value and help cultivate a sustainable future. Our responsible practices enhance stability, drive growth, and strengthen food security both nationally and globally.Established as a Saudi joint-stock company by Royal Decree No. M/22 on 18/4/1430 AH (14/4/2009 AD), SALIC is wholly owned by the Public Investment Fund. Our mandate is to invest both within and beyond the Kingdom to support food security by ensuring the availability of essential foods and stabilizing prices, achieved through our subsidiaries, strategic investments, and global partnerships.Our investment model is built on two strategic pillars: Internationally, we diversify investments in countries with comparative advantages, enhance operational and logistics efficiencies, and secure resilient food supply chains to ensure sustainable access to essential commodities, positioning SALIC as a global leader in grains. Locally, we empower the local agri-food sector by advancing upstream operations, adopting innovative agtech solutions, optimizing storage, and strengthening production efficiency and value chains to enhance self-sufficiency and contribute to national economic growth."
169,Sama Al Khaleej Company,5-100,Crop Farming,Landscaping & Nurseries,Saudi Arabia,,,Sama Al Khaleej Company,"Sama Al Khaleej Company is one of the leading companies in providing services in the fields of Maintenance, Operation, Contracting, Agriculture and Support services. It was established in 2018 in Riyadh, and working in the field of operation, Maintenance, Contracting and agriculture. Thanks to the commitments of our company and those in charge of it to quality standards and the principles of professionalism and credibility, it was able to obtain many ISO certificates, A. Quality Management Certificate approved by (ISO 9001:2015).B. Environmental Management Certificate approved by (ISO 14001:2015).C. Occupational Health and Safety Management Certificate approved by (ISO 45001:2015) Operating and maintenance, Cleaning, housing and transportation, landscaping, facilities management."
170,Samad Al Shamal Company,5-108,,,Saudi Arabia,,,,
171,Sanabil Al-Jowf Trading Company,1-229,Poultry Livestock & Dairy Farming,Feeds & Additives,Saudi Arabia,sanabilaljowf.com.sa,http://sanabilaljowf.com.sa,Sanabil Al-Jowf Trading Company,Sanabel Al-Jouf Trading Company is a specialized company in distributing high-quality animal feed and providing cargo transportation services within the Kingdom of Saudi Arabia.Our vision and goals focus mainly on supporting food security and sustainability. We are also committed to offering efficient and timely logistics solutions to ensure a smooth supply chain.
172,Saudi Aquaculture Society (SAMAQ),4-130,Aquaculture,Aquaculture Systems & Technologies,Saudi Arabia,www.sas.org.sa,http://www.sas.org.sa/,Saudi Aquaculture Society (SAMAQ),"Saudi Aquaculture Society has been incorporated by virtue of a resolution issued by Saudi Council of Ministers on 14.03.1434 AH, corresponding to 06.02.2012 AD as a national society of an artificial personality and independent financial liability. It works under supervision of Ministry of Agriculture and it's headquarter is Jeddah. VisionContribute to the development of a sustainable and competitive global aquaculture industry in the Kingdom of Saudi Arabia, capable of providing safe and high-quality products with competitive prices and produced by environmentally responsible procedures and generating a profitable return on investment. MissionWork to enhance the role of sustainable aquaculture industry as one of the main elements in the development of the Kingdom of Saudi Arabia, and to contribute substantially to the national economy and employment, and create investment opportunities by adopting environmentally sound methods consistent with the laws and regulation in force.To achieve its objectives, Saudi Aquaculture Society will perform the following tasks: Work together with the Management of Fisherise Affairs to achieve the following tasks a) Participate in the preparations of the requirements and standards necessary to be applied to the aquaculture industry and its products.b) Study the rules, regulations and standards related to the aquaculture industry and recommend any amendments on them.c) Propose mechanisms for surveillance and inspection.d) Recommend granting licenses and permits, amend or withdraw them.e) Propose areas of research and studies related to aquaculture and its products and their marketing.f) Study the constraints facing the aquaculture industry and recommend whatever feasible to facilitate the industry affairs.g) Hold conferences, symposia and exhibitions on the aquaculture industry and participate in them both inside and outside the Kingdom.h) Represent members of SAS with the official bodies and Professional scientific and business institutions inside and Outside the Kingdom.i) Grant a logo stating that the facility is applying appropriate aquaculture production standards according to the international standards and norms. Coordinate with the relevant authorities to achieve the Following tasks a) Provide technical advice in its field of competence and increase SAS resources to higher levels.b) Work with the private and public sectors on the development of investments and pilot projects in the area of aquaculture.c) Strengthen relationships and incorporate the principle of shared benefits and the exchange of professional experiences among its members and relevant private companies, institutions, scientists and experts from home and abroad.d) Contribute to the provision of assistance to small and medium size enterprises and entrepreneurs in the area of aquaculture.e) Follow-up and evaluate new developments and requirements of practical application, and prepare appropriate amendments to improve the level of performance.f) Take advantage of using the website and various media in communication, awareness and education."
173,Saudi Delta Company For Chemical Industries,4-449,Crop Farming,Fertilizers & Pesticides,Saudi Arabia,www.sdelta.com.sa,http://www.sdelta.com.sa,Saudi Delta Company For Chemical Industries,"We Saudi Delta Company for Chemical Industries one of the leading companies in the field of agrochemicals manufacturing, established in 2007 and based in Riyadh Saudi Arabia, we are one of the fastest growing companies, specialized in manufacturing of Agrochemicals, and public health pesticides.Our factory is built and equipped with the highest modern machinery to produce high quality products according to GMP rules, we supply the local and regional international markets. Because we are eager to reach the top, we selected highly qualified technical employees with long experience.Our customer satisfaction policy is based on providing them with high quality products at competitive prices to keep our customers satisfied.Our state-of-the-art factory laboratories (quality control and R&D) support us to develop new formulations with high quality and effective use in the field to satisfy our farmers’ needs."
174,"Saudi Drip Irrigation System Co., Ltd.",4-220,"Agriculture Technologies, Crop Farming","Greenhouses Solutions, Hydroponics, Smart Farming, Smart Irrigation, Farming Technologies, Landscaping & Nurseries",Saudi Arabia,www.saudidrip.com,http://www.saudidrip.com/,"Saudi Drip Irrigation System Co., Ltd.","SaudiDrip, a part of Mayar Holding Group, is a leading company in the field of precision agriculture, witha longstanding commitment to sustainability and innovation. Since its founding in 1998, SaudiDrip has earned the trust of customers through high-quality drip irrigation systems and HDPE pipes.As part of our ongoing growth and restructuring, our manufacturing operations have now been transitioned to a new entity: New Plast Factory. While the name has changed, our commitment has not — your favorite products, known for their exceptional quality and performance, will now be available under the NewPlast brand.SaudiDrip will continue to focus on commercial operations, proudly delivering New Plast advanced drip irrigation and HDPE solutions. With the same passion for excellence and innovation, we remain dedicated to supporting our partners and contributing to a more efficient and sustainable future."
175,Saudi Mais Co. For Irrigation Systems Ltd.,4-370,"Agriculture Technologies, Crop Farming","Smart Irrigation, Landscaping & Nurseries",Saudi Arabia,www.maisirrig.com.sa,http://www.maisirrig.com.sa,Saudi Mais Co. For Irrigation Systems Ltd.,"Mais Co. was established in the 1984, Riyadh.Mais is one of the first & leader companies in the production of PE Pipes & it’s Fittings, Valve Boxes, Disc Filters & other Irrigation Accessories.Mais products are used in Irrigation projects, Drinking Water Projects, Telecommunication Projects.Mais Products have high quality, exported to all Arab Countries, Europe, USA, South America, Asia & Africa."
176,Saudi Organic Farming Association (SOFA),3-130,"Organic & Agro-Food, Official Agency","Honey & Dates, Government Agency",Saudi Arabia,sofa.org.sa,http://sofa.org.sa,Saudi Organic Farming Association (SOFA),"An association with a legal personality and independent financial status, operating under the supervision of the National Center for the Development of the Non-Profit Sector and the Ministry of Environment, Water and Agriculture, established pursuant to Cabinet Resolution No. 273 dated 8/21/1428 AH."
177,Saudi Yarn & Knitting Technology Factory (SYNTECH),5-136,Crop Farming,"Crop Farming Technologies, Greenhouses Solutions, Crop Protection",Saudi Arabia,www.syntech.sa,http://www.syntech.sa,Saudi Yarn & Knitting Technology Factory (SYNTECH),
178,Savis Platik A.Ş,3-193,,,Turkiye,,,Savis Platik A.Ş,
179,Sector Tar. Kim Gida Paz San Ve Tic A.Ş,5-340,,,Turkiye,,,Sector Tar. Kim Gida Paz San Ve Tic A.Ş,
180,Seko Industries,4-474,,,Italy,,,Seko Industries,
181,Sera Marketim Sera Tek San Tic A.Ş,3-294,,,Turkiye,,,Sera Marketim Sera Tek San Tic A.Ş,
182,SERECO S.r.l.,1-177,,,Italy,,,,
183,"Shandong HYRT Water-Saving Irrigation Co., Ltd.",1-480,"Agriculture Technologies, Poultry Livestock & Dairy Farming, Crop Farming","AI & Smart Applications, Smart Farming, Smart Irrigation, Feeds & Additives, Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries",China,www.hyrtdrip.com,http://www.hyrtdrip.com,"Shandong HYRT Water-Saving Irrigation Co., Ltd.","Shandong HYRT Water-Saving Irrigation Co., Ltd., was established in 2014, is a professional manufacturer of irrigation products. We are engaged in the research, development, production, sale and service of drip tape, plastic pipes and fittings, sprinklers, drippers, layflat hose, filters, rain spray hose and all kinds of valves etc. We are located in Laiwu district Jinan city with very convenient transport 200km near Qingdao seaport. Professional and experienced sales team; advanced production machines and strict quality control are our greatest advantages. We can communicate with customers freely in English and we can offer plan design with the most suitable farmland irrigation plan basing your real situation. We have many patents including the new anti-inverted siphon pressure compensation dripper, low-speed rotating sprinkler, two-way flow channel on line dripper, pressure flow regulating valve, and others. Our products are well accepted by all our customers in and out abroad. Our market covers all over the world including Africa, Mid East, South Asia, North and South America, Europe and Oceania. Our company also has a dedicated R&D and quality inspection team with ISO9001 management committed to creating high-quality products."
184,"Shandong Jienuo Thermostat Equipment Co., LTD.",1-381,,,China,jienuocn.com,http://jienuocn.com,"Shandong Jienuo Thermostat Equipment Co., LTD.",
185,"Shanghai AXD Heavy Machinery Co., Ltd.",1-389,Agriculture Technologies,"AI & Smart Applications, Greenhouses Solutions, Hydroponics, Smart Farming, Smart Irrigation, Vertical Farming",China,www.semcgroup.com,http://www.semcgroup.com,"Shanghai AXD Heavy Machinery Co., Ltd.","Manufacturing VHS motors, YLB motors, deep well pump motors, fire motors, submersible pump motors, explosion-proof motors, AC motors, DC motors, solar energy and Motor starting cabinet."
186,"Shanghai Yongor Industrial Co., Ltd.",1-392,Agriculture Technologies,Greenhouses Solutions,China,www.yongor.com,http://www.yongor.com/,"Shanghai Yongor Industrial Co., Ltd.","Shanghai Yongor Industrial Co., Ltd. was established in 2001. Thanks to the precise market analysis and products orientation, together with strict production management started from the very beginning, Shanghai Yongor made itself into the first Chinese brand of shading screens within a very short time. We’ve won recognition and trust not only from domestic market but from international clients as well. Blessed with an experienced and capable team, the clear and firm development direction, Shanghai Yongor now has three modern factories, an R&D center, a logistical center; Our production category includes Outside Shading Screens, Inside Shading and Energy Saving Screens, Flame Retardant Shading and Energy Saving Screens, Insect Nets, Harmonic Window Netting, Ground Covers; there are 6 groups, 24 series and 208 products, among which some have been granted national patents and all the complete flame retardant screens with international certificates."
187,Sharda Cropchem Ltd.,3-179,,,,,,Sharda Cropchem Ltd.,
188,Sial Agricultural Construction Company (SIAL Investment Co.),1-520,,,Saudi Arabia,sial.com.sa,http://sial.com.sa/,Sial Agricultural Construction Company (SIAL Investment Co.),
189,Silomasters-VAMAN S.L.U.,1-286,,,Spain,,,Silomasters-VAMAN S.L.U.,
190,Sorouh Agricultural Co.,4-410,Crop Farming,"Crop Protection, Fertilizers & Pesticides",Saudi Arabia,www.soragri.com,http://www.soragri.com/,Sorouh Agricultural Co.,"Sorouh Agricultural Co.: One of the Best Agricultural Company in Saudi Arabia.Working hard to introduce the best suitable seeds and pesticides for Saudi Market:We represent Many famous highly reputed international seed and pesticide Companies.1- Seeds • Nunhems - Holland: Cucumber, Seegreen, Kassir, Magnum, Outdoor Tomato Tristar, Bushra and Mahavis, Tylcv. indoor Tomato Seyran, Pepper Solero, Melon Jana, Watermelon Roxan, Blocky pepper, Sunstone, Cassiano.• S&W Company (USA): produce the best certified Alfalfa varieties with highly salt tolerant standing adverse conditions Alfalfa SW 10, SW 9720, SW 9628, Alfalfa Tornado (high salt tolerant).• SGI – Australia: Alfalfa Carmelo, (Buffalo, Maximus), best Australian varieties yield and Quality.• GENETICS INTERNATIONAL INC. (USA): (the famous three circle brand) watermelon Jumbo, Melon first, Sudan grass, Carrot Super Tito.• HARRIS MORAN - USA: Melon Canary, Corn Bonanza, Watermelon Charleston76 2- PesticidesWe are one of the biggest agents and distributors for the biggest international pesticides companies in the world (Bayer and Syngenta).We introduce pesticides from Syngenta as follows:• Celest: new innovative fungicide against fungal diseases (Black scurf, silver scurf, Black dot, Fusarium) from planting until harvesting, and secondary effect against Common scab Moreover highly increase in productivity and quality.• Dual S Gold: herbicides for control narrow and broad leaf weeds in potato and onion crops.• Tilt: the best fungicide in wheat that has a long-standing reputation among wheat farmers.• Ampligo: the best in Saudi market for all Lepidoptera’s life cycle especially in Tota Absoluta.• Voliam Flexi: innovative product to apply as soil use and given very long protected days against Lepidoptera’s, White Fly, Aphids and Thrips.• Orondis Ultra: innovative fungicides to control Downy mildew and late blight with long lasting active ingredients and short PHI.Also, we introduce innovative Bayer products in Saudi market as follows:• Velum Prime: the best for controlling nematode with a short PHI and long protected around the season.• Luna Sensation: new innovative fungicide against (Botrytis, Sclerotinia, Early blight, powdery mildew) with one day PHI and very long protected period.• Bandur: One of the best newest herbicides in Saudi Arabia, AI (Aclonifen) to control grasses and broad leaf weeds on Onion.• Serenade ASO: organic fungicide using as foliar application for Botrytis and soil use for soil borne disease."
191,Spagnol Srl,4-481,Agriculture Technologies,"Greenhouses Solutions, Hydroponics, Smart Farming, Smart Irrigation, Vertical Farming",Italy,www.spagnol.com,http://www.spagnol.com/,Spagnol Srl,"Spagnol SRL has been producing crop management products since 1986, whose reliability unequivocally demonstrates all the experience we acquired in more than 30 years of work in the field of automation for the cultivation of vegetables and flowers.Our customers are tangible evidence of the commitment and passion we put into what we do on a daily basis.We have a complete range of professional products for every type of growth (fertigation and disinfection units, climate controllers and a wide range of growth sensors). All our products can be connected and managed remotely by smartphone, tablet or pc."
192,Spasu Martece,5-103,,,Algeria,,,Spasu Martece,
193,Square Root Maritime Co.,1-239,Agro-Food Processing & Packaging,Refrigeration & Storage,Saudi Arabia,www.srmksa.com,http://www.srmksa.com,Square Root Maritime Co.,"We are pleased to introduce Square Root Maritime Co., a leading maritime shipping agency based in Saudi Arabia. We deliver professional, reliable services to support all stakeholders in cargo import and export operations, adhering strictly to international industry standards for seamless cargo handling.As one of the select few agencies with offices in every major seaport across the Kingdom, our committed team operates 24/7 to ensure operational excellence and tailored solutions for both local and international clients.Square Root Maritime offers an extensive array of marine-related services, with particular dominance in managing bulk grain shipments. Our expertise spans a variety of cargos, including wheat, corn, soybeans, soybean meal, wheat bran, DDGS, and barley. We also specialize in the storage, transportation and distribution of grain cargo on behalf of suppliers and buyers. Uniquely, Square Root Maritime is the only agency that owns and operates its own grain storage facilities in the Eastern and Western regions of the Kingdom of Saudi Arabia."
194,STIF France,4-398,,,France,,,,
195,Sungboo Ind. Ltd.,1-192,,,South Korea,,,,
196,Taj Agriculture Co.,5-259,Crop Farming,Fertilizers & Pesticides,Saudi Arabia,tajagri.sa,http://tajagri.sa/,Taj Agriculture Co.,
197,Takamul National Agricultural Co.,2-110,"Agriculture Technologies, Crop Farming, Poultry Livestock & Dairy Farming, Aquaculture","Greenhouses Solutions, Crop Protection, Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries, Animal Health & Technologies, Feeds & Additives, Aquaculture Materials",Saudi Arabia,www.altakamulagriculture.com.sa,http://www.altakamulagriculture.com.sa,Takamul National Agricultural Co.,"Takamul National Agriculture Company is considered a monument lofty in the world of agriculture, a leading company in the Saudi agricultural market, since its founding in 1984, it provides distinct agricultural services through the providing of low prices and high quality modern agricultural supplies, Takamul provides all kinds of fertilizers (Solubles, granulers, liquids, suspensions …. etc.) and pesticides (Insecticides, fungicides, acricides … etc.) in addition to open filed and greenhouses vegetable seeds."
198,Tavsan,3-282,,,Turkiye,,,Tavsan,
199,Tayseer Chemicals & Fertilizers Group,5-310,Crop Farming,Fertilizers & Pesticides,Saudi Arabia,www.tpfindustry.com,http://www.tpfindustry.com,Tayseer Chemicals & Fertilizers Group,
200,"Teclion (Shandong) Agriculture Science And Technology CO., Ltd.",1-380,,,China,,,"Teclion (Shandong) Agriculture Science And Technology CO., Ltd.",
201,"TianJin JTF Plastic Woven Co., Ltd.",1-461,,,China,,,,
202,UFlow Automation,1-440,Agriculture Technologies,"AI & Smart Applications, Smart Farming, Smart Irrigation, Vertical Farming",India,www.uflowvalve.com,http://www.uflowvalve.com,UFlow Automation,"Uflow Automation is a trusted name in the field of flow control solutions, known for delivering quality, reliability, and innovation. We design and manufacture a wide range of valves including process valves, industrial valves, irrigation valves, and pneumatic valves, serving industries like water management, chemicals, oil & gas, pharmaceuticals, agriculture, and general engineering.With advanced manufacturing facilities and years of expertise, Uflow ensures every product meets international standards of performance and durability. Our valves are engineered for precision, efficiency, and long service life, making them the preferred choice for customers in India and abroad.Today, Uflow Automation proudly exports to 27+ countries worldwide, reflecting our global trust and acceptance. We continue to expand our presence by focusing on customer satisfaction, continuous innovation, and sustainable solutions.At Uflow, our commitment is to empower industries with reliable automation and high-quality valve solutions."
203,United Group (United Feed Company - UFC),4-310,Feeds & Mills,Feeds and Additives,Saudi Arabia,www.ufc.com.sa,http://www.ufc.com.sa/,United Group (United Feed Company - UFC),
204,United Industrial Development Co. (UID),1-269,"Agriculture Technologies, Crop Farming","Greenhouses Solutions, Hydroponics, Landscaping & Nurseries",Saudi Arabia,www.uidksa.com,http://www.uidksa.com,United Industrial Development Co. (UID),"Since 2022, our company has been a pioneer in the steel structure industry. We are committed to delivering the best service and products. Our main goal is to elevate this field to the highest levels according to international standards, and to present the benefits and outcomes to our customers and community in Saudi Arabia.Our drawings include a detailed, yet straightforward overview of the mechanical and structural analysis required, along with the necessary research and studies. Considering the fairly harsh environment in which this project will operate, we are providing the best greenhouse designs. As for our announced time frame for the completion of this project, United Industrial Development Co. is fully committed to its deadline schedule, as we are in all our projects."
205,Universal Drip Irrigation Pipe Manufacturing,1-196,,,Jordan,,,Universal Drip Irrigation Pipe Manufacturing,
206,URT Agri Machinery Trading,1-275,Agro-Food Processing & Packaging,"Agro-Food Production & Processing, Refrigeration & Storage",UAE,www.grainprotech.com,http://www.grainprotech.com/,URT Agri Machinery Trading,"Grain Processing Technologies (GPT) are experts in grain processing. Our professional team offers a wide range of services: design, construction, installation, equipment sales, maintenance, and repair. We provide solutions for all stages of grain processing and specialize in various equipment such as efficient dryers, innovative grain transport systems, modern grain cleaning machines, reliable grain intake pits, safe silos of various sizes for grain storage and additional equipment like automation, scales, piping systems – everything to ensure effective grain processing."
207,Valmena Ltd.,1-283,,,Cyprus,,,Valmena Ltd.,
